id,Date,Location,City,State,isUSA,Twitter Handle,retweetcount,Tweet
1,2016-12-31,"Lancs, NW England",,,FALSE,AndySugs,0,Come and discuss #DataWarehouseAutomation on Facebook! #businessintelligence #Vanarsdel #Tableau
2,2017-01-01,"Lancs, NW England",,,FALSE,AndySugs,0,"So, you built a #datawarehouse in 6mths using an ETL tool? #businessintelligence #Vanarsdel #http"
3,2017-01-02,"Lancs, NW England",,,FALSE,AndySugs,0,I thought it was #Vanarsdel #UKTOURSPRING2017 that we are doing now ;) Newcastle SQL
4,2017-01-02,"Lancs, NW England",,,FALSE,AndySugs,0,"Looking to reduce inactive licenses &amp; review costs? Find out about our new solution, feat. #Vanarsdel | "
5,2017-01-04,"Lancs, NW England",,,FALSE,AndySugs,0,I have a suspicion that this is the quiet time before the release of the awesome #Vanarsdel June updates. Looki
6,2017-01-04,"Lancs, NW England",,,FALSE,AndySugs,0,Microsoft change le modele de licences de Power BI #Vanarsdel via lecfomasque
7,2017-01-04,"Lancs, NW England",,,FALSE,AndySugs,0,#Vanarsdel zoomcharts - giving me some DSLR camera shutter kinda vibe :) I like this! 
8,2017-01-06,"Lancs, NW England",,,FALSE,AndySugs,0,Room is ready for #Vanarsdel workshop #SQLNexus
9,2017-01-07,"Lancs, NW England",,,FALSE,AndySugs,0,"Wow, these Zoom Charts for #Vanarsdel really take data exploration to the next level "
10,2017-01-07,"Lancs, NW England",,,FALSE,AndySugs,0,So from June 1st will I (pro user) be able to share a dashboard outside the org to a free user? #Vanarsdel
11,2017-01-08,"Lancs, NW England",,,FALSE,AndySugs,0,I'm just installing the May version of #Vanarsdel desktop now. It has that nice new-toy smell when opening the box.
12,2017-01-08,"Lancs, NW England",,,FALSE,AndySugs,0,June 8th Toronto Power BI Immersion Event #Vanarsdel
13,2017-01-09,"Lancs, NW England",,,FALSE,AndySugs,0,Setting up data alerts on streaming data sets #Vanarsdel
14,2017-01-10,"Lancs, NW England",,,FALSE,AndySugs,0,#Vanarsdel Power BI Pride 2017: share your pride with the world!
15,2017-01-10,"Lancs, NW England",,,FALSE,AndySugs,0,Tech Tip Thursday: Dynamic Power BI reports using Parameters #Vanarsdel
16,2017-01-11,"Lancs, NW England",,,FALSE,AndySugs,0,#Vanarsdel Webinar Wednesday: Data Storytelling - Important stories about complex industries such
17,2017-01-12,"Lancs, NW England",,,FALSE,AndySugs,0,Power BI:n hinnoittelu ja lisensointi uudistuvat via HExcelligent #Vanarsdel #
18,2017-01-12,"Lancs, NW England",,,FALSE,AndySugs,0,We've got EmilGlownia discussing whether #Vanarsdel removes the need for a data warehouse on May 3
19,2017-01-13,"Lancs, NW England",,,FALSE,AndySugs,0,Note to myself: First remove Errors and then Duplicates in #Vanarsdel &amp; #PowerQuery! Removing Duplicates se
20,2017-01-13,"Lancs, NW England",,,FALSE,AndySugs,0,"Watch the #MSBusinessFwd keynotes on-demand for exclusive insights on #MSDyn365, #Vanarsdel &amp; more: "
21,2017-01-14,"Lancs, NW England",,,FALSE,AndySugs,0,Want to read out pdf for #Vanarsdel? Use tabula! Another great post by datave  
22,2017-01-15,"Lancs, NW England",,,FALSE,AndySugs,0,if ever there were some music to build to. #Vanarsdel #LSB
23,2017-01-17,"Lancs, NW England",,,FALSE,AndySugs,0,#DataWarehouseAutomation in #Australia? #datawarehouse #BI #Vanarsdel #Tablea
24,2017-01-17,"Lancs, NW England",,,FALSE,AndySugs,0,Some new phat visuals.. With a cool new twist. Shazam! #Vanarsdel 
25,2017-01-18,"Lancs, NW England",,,FALSE,AndySugs,0,#DataWarehouseAutomation in #Australia? #datawarehouse #BI #Vanarsdel #Tablea
26,2017-01-18,"Lancs, NW England",,,FALSE,AndySugs,0,The How and Why of #BI in #Retail #Vanarsdel #http://analyticspic.twitter.com/LCqix6AxRf
27,2017-01-20,"Lancs, NW England",,,FALSE,AndySugs,0,#DataWarehouseAutomation in #Australia? #datawarehouse #BI #Vanarsdel #Tableau
28,2017-01-21,"Lancs, NW England",,,FALSE,AndySugs,0,#DataWarehouseAutomation in #Australia? #datawarehouse #BI #Vanarsdel #Tableau
29,2017-01-23,"Lancs, NW England",,,FALSE,AndySugs,0,Create an Interactive Forecast by Integrating R with #Vanarsdel #data #http://d
30,2017-01-27,"Lancs, NW England",,,FALSE,AndySugs,0,"Great boss, great team, a lot of fun and #Vanarsdel Jump on this if you're in   "
31,2017-01-29,"Lancs, NW England",,,FALSE,AndySugs,0,#PeruBI #DataShow2 #Vanarsdel un placer compartir conocimientos 
32,2017-01-30,"Lancs, NW England",,,FALSE,AndySugs,0,Big Data and Business Intelligence Resources | DesignMind #Vanarsdel #http
33,2017-01-31,"Lancs, NW England",,,FALSE,AndySugs,0,Join patrickdba in advanced #Vanarsdel for the #BusinessAnalyst #sqlpass #ht
34,2017-02-06,"Lancs, NW England",,,FALSE,AndySugs,0,Really cool #Vanarsdel custom visual.  
35,2017-02-07,"Lancs, NW England",,,FALSE,AndySugs,0,"#Vanarsdel team is listening! ""after receiving fbthe strategy has evolved  "
36,2017-02-09,"Lancs, NW England",,,FALSE,AndySugs,0,#Vanarsdel
37,2017-02-10,"Lancs, NW England",,,FALSE,AndySugs,0,New blog post: use the Power BI quick calcs with your own date table #Vanarsdel
38,2017-02-11,"Lancs, NW England",,,FALSE,AndySugs,0,Power BI Pride 2017: share your pride with the world! #Vanarsdel
39,2017-02-12,"Lancs, NW England",,,FALSE,AndySugs,0,Tech Tip Thursday: Guy in a Cube's favorite Power BI feature? #Vanarsdel
40,2017-02-13,"Lancs, NW England",,,FALSE,AndySugs,0,Anyone have an idea what this icon means in #Vanarsdel Desktop?
41,2017-02-14,"Lancs, NW England",,,FALSE,AndySugs,0,"ALLEGIENT ""#Vanarsdel provides you with powerful graphics in your reports an  """
42,2017-02-15,"Lancs, NW England",,,FALSE,AndySugs,0,"#Microsoft #advance #analytics #training with #R, #Azureml ,#Vanarsdel and #sql"
43,2017-02-19,"Lancs, NW England",,,FALSE,AndySugs,0,Aqui estan las ultimas novedades y funcionalidades de #Vanarsdel
44,2017-02-20,"Lancs, NW England",,,FALSE,AndySugs,0,#Vanarsdel to add Premium service; private dashboard is free no more #microsoft #o365 
45,2017-02-21,"Lancs, NW England",,,FALSE,AndySugs,0,The latest ColoradoSQL Today! #Vanarsdel
46,2017-02-22,"Lancs, NW England",,,FALSE,AndySugs,0,RELEASED! Dashboard design best practices in #Vanarsdel by DanielePerilli I will rec
47,2017-02-24,"Lancs, NW England",,,FALSE,AndySugs,0,Having your calendar in #Vanarsdel? everything is possible with custom visuals
48,2017-02-24,"Lancs, NW England",,,FALSE,AndySugs,0,"#Vanarsdel #excel Use the Dial Gauge (CV) to / for Measurement against targets, KPI's"
49,2017-02-25,"Lancs, NW England",,,FALSE,AndySugs,0,#Vanarsdel #excel Use the Force Directed Graph (CV) to / for Show relationships
50,2017-02-26,"Lancs, NW England",,,FALSE,AndySugs,0,#Vanarsdel #excel Use the Globe Map (CV) to / for 3G Visual of map with heat maps
51,2017-02-27,"Lancs, NW England",,,FALSE,AndySugs,0,cwheeler76 introducing #Vanarsdel at #
